Commodity,Best_Method,Best_MAPE,Prophet_MAPE,SARIMA_MAPE,ETS_MAPE,Simple_Avg_MAPE,Weighted_Avg_MAPE,Top2_Avg_MAPE,Prophet_SARIMA_MAPE,Volatility,File
Lben,Prophet,0.0,0.0,9.013742133642414e-13,1.6240976817373718e-14,2.977512416518515e-13,,2.7068294695622867e-15,4.4392003300821496e-13,0.0,Lben_forecast.csv
Milk,ExponentialSmoothing,0.7806880145565969,1.079336574070864,0.9430278722227822,0.7806880145565969,0.9036740075924381,0.8819662532947689,0.8598176626180812,1.011182223146822,0.016847973640823587,Milk_forecast.csv
"Fish (sardine, canned)",Prophet,2.2499867989543723,2.2499867989543723,2.7086822360123803,2.6218192614354074,2.526829432134055,2.510366126395715,2.4359030301948903,2.479334517483376,0.028677660856861503,Fish_sardine_canned_forecast.csv
Yogurt,Weighted_Average,3.422455619135498,6.450241592820767,4.426144935323271,4.997903389108233,3.6347287908269723,3.422455619135498,4.379146798895262,3.5463952011742896,0.046327648232936613,Yogurt_forecast.csv
"Fish (tuna, canned)",Prophet_SARIMA,4.0722875805169805,5.062393103905199,6.33291998519586,4.9969429720366545,4.175149798758223,4.114460998712553,4.10968167955897,4.0722875805169805,0.0463289907193483,Fish_tuna_canned_forecast.csv
Cheese,SARIMA,4.089176514855255,5.1458621973799685,4.089176514855255,4.736421713988964,4.429349928217179,4.374226926457105,4.176037917391497,4.431605432795891,0.044228594035318834,Cheese_forecast.csv
Sugar,ExponentialSmoothing,4.1557821528594845,4.7828032492021295,5.12583896661453,4.1557821528594845,4.491681524152072,4.469758807769277,4.4117951095184536,4.664924766328172,0.07567878335021253,Sugar_forecast.csv
Tea (sahm),SARIMA,4.261175637798796,7.775868552009918,4.261175637798796,4.306180381100653,5.166277195620552,4.855394224861051,4.283678009449722,5.818252177888662,0.21215456806432167,Tea_sahm_forecast.csv
Apples,Top2_Average,4.859697746129624,5.545994380041603,10.364988187404677,5.308574090479301,5.9099176632940384,5.345301360447427,4.859697746129624,6.712466272703005,0.27012571513159267,Apples_forecast.csv
Bread,Prophet,5.037943648378987,5.037943648378987,12.336936587308957,12.31714633863393,9.00364691694891,6.937132259260579,7.337002081768884,7.3468972061063935,0.11358414043428201,Bread_forecast.csv
Tomatoes,Prophet,5.477313499376146,5.477313499376146,9.202383339738358,11.741312066418729,8.103924756864668,7.2340237102004155,6.769674351284777,6.769674351284777,0.22519474225970373,Tomatoes_forecast.csv
Beans (white),ExponentialSmoothing,5.5615426290641885,7.578181571864374,7.3499935089596,5.5615426290641885,5.742180144221517,5.65847299284407,6.0094687796076585,6.094937607598835,0.3217633198384665,Beans_white_forecast.csv
Oil,Weighted_Average,6.450989363228947,27.81255334908273,19.42257205786867,18.3026668588108,8.388478832786168,6.450989363228947,7.5369136268214785,10.015949647162607,0.5622550754516358,Oil_forecast.csv
Onions,Top2_Average,6.513581182449464,8.051900699509423,15.287125294231052,11.281269596166982,8.258963603076442,6.917365328866168,6.513581182449464,6.977149938185138,0.19802332056277233,Onions_forecast.csv
Meat (chicken),SARIMA,6.765533721088741,12.443308037992296,6.765533721088741,6.803588022736198,7.317169483330746,7.1229517032865886,6.773854687420979,7.573960213628014,0.21267427223797505,Meat_chicken_forecast.csv
Semolina,Top2_Average,7.166841362670369,7.625949057542251,9.445087929962375,7.954223360550172,7.909365931863552,7.80992338050627,7.166841362670369,8.042051565215356,0.08431111760424985,Semolina_forecast.csv
Peanut,Prophet,7.798175896446778,7.798175896446778,16.31023662231644,12.145780547938038,10.732348356151004,9.570316895785558,8.876762517635374,10.025632260257483,0.11350899361778775,Peanut_forecast.csv
Meat (camel),Prophet,8.182083691622704,8.182083691622704,20.115123943815163,16.150822661569347,13.174015401883235,10.501077386182029,9.990720910032454,11.685611772040177,0.2500543498179915,Meat_camel_forecast.csv
Eggs,Top2_Average,8.700908030796842,19.712205033039748,13.282756212635984,11.618850265273412,10.814222196201598,10.36575411055046,8.700908030796842,10.411908161665687,0.27062129470400537,Eggs_forecast.csv
Carrots,ExponentialSmoothing,8.867927732559266,12.646164870490542,11.194548761210694,8.867927732559266,9.868635318507419,9.61294258664614,9.666434997817392,10.794808122476203,0.19920977989238675,Carrots_forecast.csv
Pasta,Simple_Average,8.876772832704923,11.41554869940594,18.019727409117365,12.637033258297869,8.876772832704923,9.02546990227105,10.102557791519574,11.862522876392537,0.36355156993809545,Pasta_forecast.csv
Wheat flour,ExponentialSmoothing,9.527818773982379,11.14434024326588,12.896917022413232,9.527818773982379,10.663128895552212,10.455940609736057,9.652794924649493,12.020628632839552,0.08032166446951383,Wheat_flour_forecast.csv
Meat (lamb),SARIMA,9.758101146786597,67.4073804488811,9.758101146786597,,35.20833564130571,11.596585134766748,35.20833564130571,35.20833564130571,0.33669092903586006,Meat_lamb_forecast.csv
Lentils (black),Prophet,9.943339618282396,9.943339618282396,14.987414569038322,13.052707909616082,12.646626213124465,12.281903190425133,11.476232035167536,12.443585364878654,0.16114435346853703,Lentils_black_forecast.csv
Bananas,SARIMA,10.245689501322506,10.723515909321975,10.245689501322506,12.2625659572763,11.07725712264026,11.013053379364216,10.484602705322242,10.484602705322242,0.3431648727551625,Bananas_forecast.csv
Dates,ExponentialSmoothing,13.155809420965223,14.8275667920672,14.291998242112552,13.155809420965223,13.548684301927896,13.514306106460056,13.723903831538891,13.888344951546818,0.08823668601940107,Dates_forecast.csv
Potatoes,Top2_Average,16.309029801255914,17.56570502316352,22.286801266241145,17.18619836901637,17.778057400335857,17.459374913487647,16.309029801255914,18.9322645284042,0.2864062099704219,Potatoes_forecast.csv
Rice,SARIMA,17.432354857917975,18.371122751643128,17.432354857917975,18.858494448394016,17.8448377973473,17.829036439442454,17.702507209645944,17.702507209645944,0.41801039285095265,Rice_forecast.csv
Milk (camel),ExponentialSmoothing,18.878171097006057,26.345316353207256,36.52156786241482,18.878171097006057,25.09853792775169,23.267893361323182,21.466236991476578,28.287909635251978,0.32508258391740114,Milk_camel_forecast.csv
